"","lab","ds","os","pr"
"1","Acer Nitro 16","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1200 pixels
                    ","
                      Acer Nitro 16 Full Specs
                    "
"2","Acer Predator Triton 16","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    2560x1600 pixels
                    ","
                      Acer Predator Triton 16 Full Specs
                    "
"3","Acer Aspire 5 (2023)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1900x1200 pixels
                    ","
                      Acer Aspire 5 (2023) Full Specs
                    "
"4","Acer Swift Edge 16","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    3200x2000 pixels
                    ","
                      Acer Swift Edge 16 Full Specs
                    "
"5","Acer Swift Go (2023)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    2880x1800 pixels
                    ","
                      Acer Swift Go (2023) Full Specs
                    "
"6","Acer Aspire Vero 15","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Aspire Vero 15 Full Specs
                    "
"7","Acer Swift X 16","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Swift X 16 Full Specs
                    "
"8","Acer Predator Helios 3D 15 SpatialLabs Edition","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Predator Helios 3D 15 SpatialLabs Edition Full Specs
                    "
"9","Acer Predator Helios Neo 16","
                                                  
                    Processor
                    Core
                    ","
                                                  
                    Hard disk
                    32GB
                    ","
                      Acer Predator Helios Neo 16 Full Specs
                    "
"10","Acer Predator Triton 14","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    2560x1600 pixels
                    ","
                      Acer Predator Triton 14 Full Specs
                    "
"11","Acer Predator Triton 17 X","
                                                  
                    Display size
                    17.00-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Predator Triton 17 X Full Specs
                    "
"12","Acer Aspire 3 15 (2023)","
                                                  
                    Display size
                    15.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Aspire 3 15 (2023) Full Specs
                    "
"13","Acer Aspire 3 14 (2023)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Aspire 3 14 (2023) Full Specs
                    "
"14","Acer Nitro 5 (2023)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Nitro 5 (2023) Full Specs
                    "
"15","Acer Swift Go 14","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Swift Go 14 Full Specs
                    "
"16","Acer Aspire (A314-36P)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1080x1920 pixels
                    ","
                      Acer Aspire (A314-36P) Full Specs
                    "
"17","Acer Aspire 3 (A315-510P)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1080x1920 pixels
                    ","
                      Acer Aspire 3 (A315-510P) Full Specs
                    "
"18","Acer Swift Edge","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    2400x3840 pixels
                    ","
                      Acer Swift Edge Full Specs
                    "
"19","Acer Aspire 5 (A515-57G)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Aspire 5 (A515-57G) Full Specs
                    "
"20","Acer Aspire 7 (2022)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Aspire 7 (2022) Full Specs
                    "
"21","Acer Preditor Helios 300 SpatialLabs Edition","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    3840x2160 pixels
                    ","
                      Acer Preditor Helios 300 SpatialLabs Edition Full Specs
                    "
"22","Acer Aspire Vero (AV15-52)","
                                                  
                    Display size
                    15.00-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Aspire Vero (AV15-52) Full Specs
                    "
"23","Acer Aspire Vero (AV14-51)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer Aspire Vero (AV14-51) Full Specs
                    "
"24","Acer ConceptD 5 Pro (2022)","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    3840x2400 pixels
                    ","
                      Acer ConceptD 5 Pro (2022) Full Specs
                    "
"25","Acer ConceptD 5 (2022)","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    3840x2400 pixels
                    ","
                      Acer ConceptD 5 (2022) Full Specs
                    "
"26","Acer TravelMate Spin P2 (2022, 15.6-Inch)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer TravelMate Spin P2 (2022, 15.6-Inch) Full Specs
                    "
"27","Acer TravelMate Spin P2 (2022, 14-Inch)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Touchscreen
                    No
                    ","
                      Acer TravelMate Spin P2 (2022, 14-Inch) Full Specs
                    "
"28","Acer TravelMate Spin P4 (2022)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1200 pixels
                    ","
                      Acer TravelMate Spin P4 (2022) Full Specs
                    "
"29","Acer TravelMate P4 (2022, 16-Inch)","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1200 pixels
                    ","
                      Acer TravelMate P4 (2022, 16-Inch) Full Specs
                    "
"30","Acer TravelMate P4 (2022, 14-Inch)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1200 pixels
                    ","
                      Acer TravelMate P4 (2022, 14-Inch) Full Specs
                    "
"31","Acer Spin 5 (2022)","
                                                  
                    Display size
                    13.50-inch
                    ","
                                                  
                    Display resolution
                    1504x2256 pixels
                    ","
                      Acer Spin 5 (2022) Full Specs
                    "
"32","Acer Spin 3 (2022)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Touchscreen
                    Yes
                    ","
                      Acer Spin 3 (2022) Full Specs
                    "
"33","Acer Swift 3 OLED","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Processor
                    Intel Core
                    ","
                      Acer Swift 3 OLED Full Specs
                    "
"34","Acer Swift 3 (2022)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Swift 3 (2022) Full Specs
                    "
"35","Acer Swift 5","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    2560x1600 pixels
                    ","
                      Acer Swift 5 Full Specs
                    "
"36","Acer Predator Helios 300 (PH315-54)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Predator Helios 300 (PH315-54) Full Specs
                    "
"37","Acer Nitro 5 (AN515-46)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    2560x1440 pixels
                    ","
                      Acer Nitro 5 (AN515-46) Full Specs
                    "
"38","Acer Nitro 5 (AN515-58)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Nitro 5 (AN515-58) Full Specs
                    "
"39","Acer Predator Helios 300 (PH317-56)","
                                                  
                    Display size
                    17.30-inch
                    ","
                                                  
                    OS
                    Windows 11
                    ","
                      Acer Predator Helios 300 (PH317-56) Full Specs
                    "
"40","Acer Predator Helios 300 (PH315-55)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    2560x1440 pixels
                    ","
                      Acer Predator Helios 300 (PH315-55) Full Specs
                    "
"41","Acer Predator Triton 500 SE (PT516-52s)","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    2560x1600 pixels
                    ","
                      Acer Predator Triton 500 SE (PT516-52s) Full Specs
                    "
"42","Acer Swift X (SFX16-52G)","
                                                  
                    Display size
                    16.00-inch
                    ","
                                                  
                    Display resolution
                    2560x1600 pixels
                    ","
                      Acer Swift X (SFX16-52G) Full Specs
                    "
"43","Acer Swift X (SFX14-51G)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    2240x1400 pixels
                    ","
                      Acer Swift X (SFX14-51G) Full Specs
                    "
"44","Acer Chromebook 314 (CB314-3H/T)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Chromebook 314 (CB314-3H/T) Full Specs
                    "
"45","Acer Chromebook 315 (CB315-4H/T)","
                                                  
                    Display size
                    15.60-inch
                    ","
                                                  
                    Display resolution
                    1920x1080 pixels
                    ","
                      Acer Chromebook 315 (CB315-4H/T) Full Specs
                    "
"46","Acer Chromebook Spin 513 (CP513-2H)","
                                                  
                    Display size
                    13.50-inch
                    ","
                                                  
                    Display resolution
                    2256x1504 pixels
                    ","
                      Acer Chromebook Spin 513 (CP513-2H) Full Specs
                    "
"47","Acer TravelMate P2 14-inch (AMD)","
                                                  
                    Display size
                    14.00-inch
                    ","
                                                  
                    Processor
                    Ryzen 5
                    ","
                      Acer TravelMate P2 14-inch (AMD) Full Specs
                    "
